can_select,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank_type,form_rank_type,points_per_game_rank_type,selected_rank_type,starts_per_90,clean_sheets_per_90,position_name,age,years_in_team,status_a,status_d,status_i,status_s,team_name_Arsenal,team_name_Aston Villa,team_name_Bournemouth,team_name_Brentford,team_name_Brighton,team_name_Burnley,team_name_Chelsea,team_name_Crystal Palace,team_name_Everton,team_name_Fulham,team_name_Leeds,team_name_Liverpool,team_name_Man City,team_name_Man Utd,team_name_Newcastle,team_name_Nott'm Forest,team_name_Spurs,team_name_Sunderland,team_name_West Ham,team_name_Wolves
1,0.0,0.0,0,0,0,0,0,2.7,,0,0.0,0,65,3.6,4.8,127,0,0,0,0,0.0,19.5,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,0,33,3.51,5.64,9.14,27.13,12,9,56,19,10.0,10.0,10.0,0.11,0.0,0.18,0.29,0.86,0.92,36,250,39,26,1.05,0.35,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.6,,0,0.0,0,60,3.3,0.8,92,0,0,0,0,0.0,15.3,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,0,17,5.75,1.18,6.93,15.71,57,96,40,65,10.0,10.0,10.0,0.33,0.0,0.07,0.4,0.9,0.97,62,230,53,70,0.97,0.23,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.5,,0,0.0,0,55,0.0,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,285,285,282,285,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,107,197,285,280,0.0,0.0,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.5,,0,0.0,0,55,3.1,0.6,107,0,0,0,0,0.0,19.5,2820,5,5,6,45,0,0,0,8,1,0,7,580,735.4,333.0,409.0,147.9,0,34,4.23,1.38,5.61,44.54,11,76,52,52,10.0,10.0,10.0,0.14,0.0,0.04,0.18,1.42,1.44,80,170,60,80,1.09,0.19,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.5,,0,0.0,0,55,2.5,0.6,66,0,0,0,0,0.0,12.0,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,0,11,1.19,1.78,2.97,5.38,96,91,79,89,10.0,10.0,10.0,0.12,0.0,0.18,0.3,0.55,0.41,119,209,81,79,1.12,0.41,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.5,,0,0.0,0,55,0.0,1.4,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,288,288,286,288,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,116,206,288,51,0.0,0.0,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.0,,0,0.0,0,50,2.2,0.3,27,0,0,0,0,0.0,5.4,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,0,5,1.07,0.96,2.03,6.13,136,110,102,120,10.0,10.0,10.0,0.2,0.0,0.18,0.38,1.14,1.68,153,99,96,139,0.93,0.19,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.5,,0,0.0,0,45,0.0,0.6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,238,238,232,238,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,286,67,239,83,0.0,0.0,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.5,,0,0.0,0,45,0.0,0.2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,190,190,182,190,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,228,9,191,155,0.0,0.0,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.9,,0,0.0,0,75,4.2,2.9,97,0,0,0,0,0.0,12.9,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,0,21,9.53,1.65,11.18,19.32,15,15,14,15,10.0,10.0,10.0,0.46,0.0,0.08,0.54,0.93,0.96,8,62,9,21,1.01,0.34,Forward,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
